ENS_ID,Endophyte_Name,Endophyte_Type,Taxonomy_ID,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,GenBank_ID,Closest_GenBank_ID
ENS00899,Streptomyces variabilis LCP18,Endophytic Bacteria,67372,Bacteria,No Rank at Level Kingdom,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,MG021133,NA
ENS00900,Streptosporangium oxazolinicum K07-0460,Endophytic Bacteria,909287,Bacteria,No Rank at Level Kingdom,Actinomycetota,Actinomycetes,Streptosporangiales,Streptosporangiaceae,Streptosporangium,NA,NA
ENS00901,Talaromyces amestolkiae YX1,Endophytic Fungus,1196081,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,KP975419,NA
ENS00902,Talaromyces assiutensis JTY2,Endophytic Fungus,91640,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,JN899320.1,NA
ENS00903,Talaromyces aurantiacus,Endophytic Fungus,1131642,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,LT558950.1,NA
ENS00904,Talaromyces funiculosus Salicorn 58,Endophytic Fungus,28572,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,KT728713,NA
ENS00905,Talaromyces islandicus EN-501,Endophytic Fungus,28573,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,KU885935,NA
ENS00906,Talaromyces marneffei strain LL-G-2,Endophytic Fungus,37727,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,MK849927,NA
ENS00907,Talaromyces minioluteus strain G413,Endophytic Fungus,28574,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,KM215653,NA
ENS00908,Talaromyces pinophilus KX640963,Endophytic Fungus,128442,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,KX640963,NA
ENS00909,Talaromyces pinophilus  Hedgc,Endophytic Fungus,128442,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,MK592818,NA
ENS00910,Talaromyces purpureogenus,Endophytic Fungus,1266744,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,MG807065,NA
ENS00911,Talaromyces purpureogenus H4,Endophytic Fungus,1266744,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,MK749843,NA
ENS00912,Talaromyces purpureogenus IMM003,Endophytic Fungus,1266744,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,MK057459,NA
ENS00913,Talaromyces sp. CY-3,Endophytic Fungus,1707706,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,MZ614621,NA
ENS00914,Talaromyces sp. isolate CPEF04,Endophytic Fungus,1707706,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,MW475279,NA
ENS00915,Talaromyces sp. LGT-2,Endophytic Fungus,1507901,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,KF934203,NA
ENS00916,Talaromyces sp. SCNU-F0041,Endophytic Fungus,1707706,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,OM970878,NA
ENS00917,Talaromyces sp. SK-S009,Endophytic Fungus,1707706,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,MK368459.BLAST,NA
ENS00918,Talaromyces wortmannii LGT-4,Endophytic Fungus,28567,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,KF850714,NA
ENS00919,Teratosphaeria sp. AK1128,Endophytic Fungus,1933446,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Teratosphaeria,JQ759476,NA
ENS00920,Trichoderma afroharzianum AMrb7,Endophytic Fungus,1567482,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,NA,NR137304
ENS00921,Trichoderma afroharzianum Fes1712,Endophytic Fungus,1567482,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,MT313929,NA
ENS00922,Trichoderma afroharzianum MFLUCC19-0090,Endophytic Fungus,1567482,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,MK422173,NA
ENS00923,Trichoderma afroharzianum MFLUCC19-0091,Endophytic Fungus,1567482,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,MK422174,NA
ENS00924,Trichoderma asperellum 6S-2,Endophytic Fungus,101201,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,MZ841617,NA
ENS00925,Trichoderma atroviridae,Endophytic Fungus,63577,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,KC171717,NA
ENS00926,Trichoderma atroviride B7,Endophytic Fungus,63577,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,MG856903,NA
ENS00927,Trichoderma atroviride HH-01,Endophytic Fungus,63577,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,NA,MG198882.1
ENS00928,Trichoderma brevicompactum strain 0248,Endophytic Fungus,247546,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,JN257218,NA
ENS00929,Trichoderma brevicompactum strain NTU439,Endophytic Fungus,247546,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,OK217197,NA
ENS00930,Trichoderma citrinoviride TG-Z4-01,Endophytic Fungus,58853,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,NA,NA
ENS00931,Trichoderma erinaceum,Endophytic Fungus,202914,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,NA,NA
ENS00932,Trichoderma gamsii,Endophytic Fungus,398673,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,JF964996,NA
ENS00933,Trichoderma gamsii YIM PH30019,Endophytic Fungus,398673,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,KP715352,NA
ENS00934,Trichoderma harzianum,Endophytic Fungus,5544,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,MK213940,NA
ENS00935,Trichoderma harzianum HS-N-04,Endophytic Fungus,5544,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,NA,KT192387
ENS00936,Trichoderma harzianum NSW-V,Endophytic Fungus,5544,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,KX034080.1,NA
ENS00937,Trichoderma harzianum TharDOB-31,Endophytic Fungus,5544,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,KU865573,NA
ENS00938,Trichoderma koningiopsis A729,Endophytic Fungus,337941,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,KU529843,NA
ENS00939,Trichoderma koningiopsis QA-3,Endophytic Fungus,337941,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,MF616361,NA
ENS00940,Trichoderma koningiopsis VM115,Endophytic Fungus,337941,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,KY412855,NA
ENS00941,Trichoderma koningiopsis YIM PH30002,Endophytic Fungus,337941,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,KM190127,NA
ENS00942,Trichoderma lixii R-18,Endophytic Fungus,1491472,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,JX244279,NA
ENS00943,Trichoderma lixii R-30,Endophytic Fungus,1491472,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,JX244280,NA
ENS00944,Trichoderma lixii R-38,Endophytic Fungus,1491472,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,JX244281,NA
ENS00945,Trichoderma longibrachiatum EN-586,Endophytic Fungus,5548,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,OM060242,NA
ENS00946,Trichoderma longibrachiatum MD33,Endophytic Fungus,5548,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,NA,NR_120298.1
ENS00947,Trichoderma longibrachiatum T6,Endophytic Fungus,5548,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,NA,NA
ENS00948,Trichoderma longibrachiatum WKA55,Endophytic Fungus,5548,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,MZ014020.1,NA
ENS00949,Trichoderma longibrachiatum LMA 1684,Endophytic Fungus,5548,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,NA,MH153613.1
ENS00950,Trichoderma saturnisporum DI-IA,Endophytic Fungus,5549,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,NA,NA
ENS00951,Trichoderma sp. 09,Endophytic Fungus,1715253,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,NA,NA
ENS00952,Trichoderma sp. 307,Endophytic Fungus,1715253,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,KX816009,NA
ENS00953,Trichoderma sp. EFT2,Endophytic Fungus,1715253,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,OM177662,NA
